CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAM_AUTHORS,FNU,FNUERR1,FNUERR2,FNU_AUTHORS,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
4.98368,,2.0287527806358236e-16,1.333984460002811e-17,-1.333984460002811e-17,Calculated,0.0016807289997141526,0.00011051451850097136,-0.00011051451850097136,M&acirc;lin et al. 2025,,,
4.98448,,2.2064286418676164e-16,1.348768946402921e-17,-1.348768946402921e-17,Calculated,0.0018285127922958884,0.00011177525642803727,-0.00011177525642803727,M&acirc;lin et al. 2025,,,
4.98528,,2.1808439065371975e-16,1.6436125536550194e-17,-1.6436125536550194e-17,Calculated,0.0018078909356276447,0.0001362533204934827,-0.0001362533204934827,M&acirc;lin et al. 2025,,,
4.98608,,2.245525397271572e-16,1.5308168385044404e-17,-1.5308168385044404e-17,Calculated,0.0018621091011756827,0.0001269434748177716,-0.0001269434748177716,M&acirc;lin et al. 2025,,,
4.98688,,2.220562215909898e-16,1.4022823274205054e-17,-1.4022823274205054e-17,Calculated,0.0018419998096568897,0.00011632206302021488,-0.00011632206302021488,M&acirc;lin et al. 2025,,,
4.98768,,2.1748809763892485e-16,1.2994375629971265e-17,-1.2994375629971265e-17,Calculated,0.001804685758486364,0.0001078255081285622,-0.0001078255081285622,M&acirc;lin et al. 2025,,,
4.98848,,2.1899925766357905e-16,1.1461238525937724e-17,-1.1461238525937724e-17,Calculated,0.0018178087032190086,9.51342911587571e-05,-9.51342911587571e-05,M&acirc;lin et al. 2025,,,
4.98928,,2.1007573660242376e-16,1.1814598970863024e-17,-1.1814598970863024e-17,Calculated,0.0017442986606836857,9.809885470206869e-05,-9.809885470206869e-05,M&acirc;lin et al. 2025,,,
4.99009,,2.035404001233058e-16,1.0867603323567825e-17,-1.0867603323567825e-17,Calculated,0.0016905770558288,9.026473771075625e-05,-9.026473771075625e-05,M&acirc;lin et al. 2025,,,
4.99089,,1.9956753487383916e-16,1.1054341211387206e-17,-1.1054341211387206e-17,Calculated,0.0016581110414968468,9.184522538028055e-05,-9.184522538028055e-05,M&acirc;lin et al. 2025,,,
4.99169,,2.048718735109458e-16,1.0684163710265761e-17,-1.0684163710265761e-17,Calculated,0.0017027285070984385,8.879808541900297e-05,-8.879808541900297e-05,M&acirc;lin et al. 2025,,,
4.99249,,2.0641799347319416e-16,1.3323770016083468e-17,-1.3323770016083468e-17,Calculated,0.001716129067405875,0.00011077187907555654,-0.00011077187907555654,M&acirc;lin et al. 2025,,,
4.99329,,2.226446959292605e-16,1.1781266489081869e-17,-1.1781266489081869e-17,Calculated,0.0018516293388138273,9.79791527865508e-05,-9.79791527865508e-05,M&acirc;lin et al. 2025,,,
4.99409,,2.0785285547367221e-16,1.3023092895547345e-17,-1.3023092895547345e-17,Calculated,0.0017291671557624992,0.00010834156908793011,-0.00010834156908793011,M&acirc;lin et al. 2025,,,
4.99489,,1.991018133341849e-16,1.3079121562261329e-17,-1.3079121562261329e-17,Calculated,0.001656896796402716,0.00010884257784181473,-0.00010884257784181473,M&acirc;lin et al. 2025,,,
4.99569,,1.9781043307416331e-16,1.2240489379363485e-17,-1.2240489379363485e-17,Calculated,0.0016466779665991456,0.0001018962642573647,-0.0001018962642573647,M&acirc;lin et al. 2025,,,
4.99649,,2.1028188031959622e-16,1.3048926571710898e-17,-1.3048926571710898e-17,Calculated,0.001751058067054368,0.00010866094646417864,-0.00010866094646417864,M&acirc;lin et al. 2025,,,
4.99729,,2.212554108842047e-16,1.1657895605626092e-17,-1.1657895605626092e-17,Calculated,0.001843027391298442,9.710868014573148e-05,-9.710868014573148e-05,M&acirc;lin et al. 2025,,,
4.99809,,2.2089054654049704e-16,1.3835938611225224e-17,-1.3835938611225224e-17,Calculated,0.0018405778451329406,0.00011528841986803509,-0.00011528841986803509,M&acirc;lin et al. 2025,,,
4.99889,,2.222233768113816e-16,1.0573480026509728e-17,-1.0573480026509728e-17,Calculated,0.0018522770752500998,8.813210806054002e-05,-8.813210806054002e-05,M&acirc;lin et al. 2025,,,
4.99969,,1.9599109393731818e-16,1.1419150826031043e-17,-1.1419150826031043e-17,Calculated,0.0016341490746299453,9.52114424208808e-05,-9.52114424208808e-05,M&acirc;lin et al. 2025,,,
5.0005,,1.8932808489537945e-16,1.1040876283597695e-17,-1.1040876283597695e-17,Calculated,0.0015790994467297312,9.208692751777804e-05,-9.208692751777804e-05,M&acirc;lin et al. 2025,,,
5.0013,,2.100139448486172e-16,1.1228349259756276e-17,-1.1228349259756276e-17,Calculated,0.0017521918418580162,9.368055052086691e-05,-9.368055052086691e-05,M&acirc;lin et al. 2025,,,
5.0021,,2.0634567377763304e-16,1.288797527582867e-17,-1.288797527582867e-17,Calculated,0.0017221379956848313,0.00010756160525986792,-0.00010756160525986792,M&acirc;lin et al. 2025,,,
5.0029,,2.0269073310611264e-16,1.237631889601754e-17,-1.237631889601754e-17,Calculated,0.0016921759233863073,0.00010332445166611464,-0.00010332445166611464,M&acirc;lin et al. 2025,,,
5.0037,,1.976938372256725e-16,1.2410303228285158e-17,-1.2410303228285158e-17,Calculated,0.001650987420400659,0.00010364134158551174,-0.00010364134158551174,M&acirc;lin et al. 2025,,,
5.0045,,2.2421793403431075e-16,1.193141922936477e-17,-1.193141922936477e-17,Calculated,0.0018730957241394658,9.967396425131037e-05,-9.967396425131037e-05,M&acirc;lin et al. 2025,,,
5.0053,,2.230725900200448e-16,1.1760419428372786e-17,-1.1760419428372786e-17,Calculated,0.001864124035365934,9.827689058724908e-05,-9.827689058724908e-05,M&acirc;lin et al. 2025,,,
5.0061,,2.1817026210031347e-16,1.1042291973256094e-17,-1.1042291973256094e-17,Calculated,0.0018237407327234886,9.230532823485034e-05,-9.230532823485034e-05,M&acirc;lin et al. 2025,,,
5.0069,,2.1619483690518804e-16,1.0157947075125166e-17,-1.0157947075125166e-17,Calculated,0.0018078058558166792,8.494003126235857e-05,-8.494003126235857e-05,M&acirc;lin et al. 2025,,,
5.0077,,2.2298134649564e-16,1.1967110594305576e-17,-1.1967110594305576e-17,Calculated,0.001865150617104009,0.00010010013869190358,-0.00010010013869190358,M&acirc;lin et al. 2025,,,
5.0085,,2.0852681963981751e-16,1.0692623076088274e-17,-1.0692623076088274e-17,Calculated,0.0017448021024215558,8.946816172511974e-05,-8.946816172511974e-05,M&acirc;lin et al. 2025,,,
5.0093,,2.0117034974898516e-16,1.3417198630350088e-17,-1.3417198630350088e-17,Calculated,0.0016837867462295797,0.0001123013468610183,-0.0001123013468610183,M&acirc;lin et al. 2025,,,
5.0101,,2.0848463393501467e-16,1.257295789823524e-17,-1.257295789823524e-17,Calculated,0.001745564915702674,0.00010526873745816293,-0.00010526873745816293,M&acirc;lin et al. 2025,,,
5.01091,,2.112144529587902e-16,1.1940057871359454e-17,-1.1940057871359454e-17,Calculated,0.0017689860200061848,0.00010000165782509555,-0.00010000165782509555,M&acirc;lin et al. 2025,,,
