wavelength,flux,err
5.13823,1.9965762624381263e-16,1.0133360153284829e-17
5.13903,1.9923139913787759e-16,1.0579343302588569e-17
5.13983,1.9405018539290779e-16,9.612832599266174e-18
5.14063,1.7986010968558936e-16,1.0624786455192152e-17
5.14143,1.8998083248979784e-16,1.0322089555769743e-17
5.14223,1.8965791639731072e-16,1.2196099333549217e-17
5.14303,1.810673987480085e-16,1.1349419568119738e-17
5.14383,1.875608493399213e-16,1.2048926691599018e-17
5.14463,1.8510089717843446e-16,1.1300627923146485e-17
5.14543,1.8492337350043243e-16,1.094325425429504e-17
5.14623,1.8099308278683926e-16,1.2158430331895483e-17
5.14703,1.8332506958810692e-16,1.1069914423652807e-17
5.14784,1.8720346317790667e-16,1.1045094580907966e-17
5.14864,1.8201699010891647e-16,9.929487732499517e-18
5.14944,1.945917214119298e-16,1.1903290065966793e-17
5.15024,1.8927131347984936e-16,1.0546393529887113e-17
5.15104,1.9354632745204683e-16,1.0455193310430439e-17
5.15184,1.9931757252600203e-16,1.128059153044792e-17
5.15264,1.9332441772279855e-16,1.020852113725414e-17
5.15344,1.9809167359600114e-16,9.802538643035329e-18
5.15424,1.916799794140301e-16,9.919287755368524e-18
5.15504,2.030071879904047e-16,1.1043432131172405e-17
5.15584,1.953489707786202e-16,1.0934550898730001e-17
5.15664,1.9533680820904122e-16,1.0574327961735748e-17
5.15744,1.8982070869730598e-16,1.0221251040245946e-17
5.15825,1.858291302528031e-16,9.611194212453289e-18
5.15905,1.835088219148155e-16,9.01156709886352e-18
5.15985,1.8872172787921823e-16,1.0588721310821102e-17
5.16065,1.781046152342663e-16,1.0913454985868514e-17
5.16145,1.771868360287206e-16,1.1036593030724564e-17
5.16225,1.9375059449897628e-16,1.2968025068681901e-17
5.16305,1.8376839075469588e-16,1.505252607261948e-17
5.16385,1.93350783904796e-16,1.2188211757408145e-17
5.16465,1.8818046735529259e-16,1.0959719238588798e-17
5.16545,1.8787676771594636e-16,1.0171030282920594e-17
5.16625,1.9480922524803566e-16,1.0139648841626724e-17
5.16705,1.8147636058124872e-16,1.0304472961251117e-17
5.16785,1.7857092230610915e-16,1.0267788552721097e-17
5.16866,1.8764320175934224e-16,9.555344798420165e-18
5.16946,1.9767122130077894e-16,1.084638739566111e-17
5.17026,1.9647418754293491e-16,1.0715774200943144e-17
5.17106,1.8935648282226615e-16,1.156336902062148e-17
5.17186,1.9389368804673327e-16,1.2172867734204557e-17
5.17266,2.0035734064409783e-16,1.1137352116839689e-17
5.17346,1.8613813820389082e-16,9.961461292726429e-18
5.17426,1.7682307142696418e-16,9.694067666226485e-18
5.17506,1.756430974312918e-16,1.131030242879012e-17
5.17586,1.8207278271272934e-16,1.0191254743550921e-17
5.17666,1.9201244542523512e-16,9.737908069128992e-18
5.17746,1.8382064730936876e-16,9.629612303528254e-18
