wavelength,flux,error
5042.43,1.624768974382674e-18,5.982843945638666e-17
5043.68,1.431392202231779e-18,6.31072269547727e-17
5044.93,8.119800799580197e-19,7.646976047731122e-17
5046.18,-2.920489941118509e-19,7.858108672921343e-17
5047.43,6.337502404300935e-19,7.577580151515113e-17
5048.68,1.2921366376233842e-18,7.175891220662193e-17
5049.93,6.298123250800693e-19,6.246478775498142e-17
5051.18,3.582556079021341e-18,6.078637391448631e-17
5052.43,2.1999839366111197e-18,6.57104715271662e-17
5053.68,5.199871166810073e-19,6.830388623155143e-17
5054.93,-1.1629942837395205e-18,6.3819475449557e-17
5056.18,4.618425372505102e-19,6.539529944904715e-17
5057.43,6.24360736015619e-19,6.812153101688572e-17
5058.68,7.118627003434242e-18,6.928563212335035e-17
5059.93,1.9653501978354895e-18,7.064363894467462e-17
5061.18,5.618708531898317e-19,7.604777010969929e-17
5062.43,1.4202893032268545e-18,7.151306247664172e-17
5063.68,1.2970824316008473e-18,7.512549852764787e-17
5064.93,2.4096819825547697e-18,6.94630176289745e-17
5066.18,4.554717079136349e-18,6.805051537117446e-17
5067.43,2.4020620124889544e-18,7.584717712069671e-17
5068.68,1.817177945240305e-18,6.92260613179879e-17
5069.93,2.882364766137661e-18,7.26356012022205e-17
5071.18,2.318032205106234e-18,7.071017745818842e-17
5072.43,2.3849895332860415e-18,7.418716548431248e-17
5073.68,1.906461651156189e-18,7.418453476238052e-17
5074.93,4.416234476822294e-19,8.041869557070822e-17
5076.18,1.7820393629154576e-18,7.516450555419838e-17
5077.43,7.272112265123243e-19,7.084165608874235e-17
5078.68,-4.2152145563773748e-19,7.840841595489853e-17
5079.93,-1.3030305881878962e-18,7.126350789817471e-17
5081.18,1.881004148193721e-18,7.301271124177587e-17
5082.43,1.049740799631752e-18,7.083367732261248e-17
5083.68,5.00972653365493e-18,7.289151171471414e-17
5084.93,2.065298722196923e-20,7.535179582775385e-17
5086.18,2.8424037598196204e-19,8.554089046311986e-17
5087.43,1.2168416243498198e-18,7.953943343742746e-17
5088.68,1.1049663481223385e-18,7.971843328969397e-17
5089.93,1.655626922329201e-19,7.448223181152504e-17
5091.18,-1.9671747515198887e-18,7.199744299664532e-17
5092.43,7.751696355882193e-19,7.692722530857712e-17
5093.68,-1.1938034323949703e-18,8.682085762203221e-17
5094.93,8.91098041210775e-19,8.493985343632237e-17
5096.18,-1.395714445000172e-18,7.874124409575572e-17
5097.43,-6.567279037078486e-19,8.302786541330723e-17
5098.68,2.431738374694154e-18,8.654156280650887e-17
5099.93,1.6926366900286887e-18,8.161328262065018e-17
5101.18,1.5606407826559312e-19,7.053767697146517e-17
5102.43,-1.425775554731094e-18,7.334471107744092e-17
5103.68,8.76527683823785e-19,7.194098825802921e-17
5104.93,2.3519100608437484e-18,7.258128613072794e-17
5106.18,2.6137350087268254e-18,7.542975611687021e-17
5107.43,1.1071250056438657e-18,7.061808143267359e-17
5108.68,1.3892439351463375e-18,8.011142650225309e-17
5109.93,3.489587574321224e-18,8.140855564753816e-17
5111.18,2.747737301337277e-18,7.625711983215047e-17
5112.43,2.7152209503925387e-18,7.105957117940715e-17
5113.68,1.936484866904071e-18,8.54160385758221e-17
5114.93,1.0403392800869643e-18,9.058550827515374e-17
5116.18,5.367794946168397e-19,9.422016646203557e-17
5117.43,2.3523605852799206e-18,8.47562613259239e-17
5118.68,9.728757273319137e-19,8.104970923470615e-17
5119.93,-1.6393945899153348e-18,7.8526304311772e-17
5121.18,6.772648287949411e-18,7.918598314862992e-17
5122.43,2.7686850028346643e-18,9.081812862242519e-17
5123.68,2.1599792122064947e-18,7.837206553308124e-17
5124.93,7.677416169961679e-19,6.990458653460674e-17
5126.18,2.525004386526773e-18,7.547561941063322e-17
5127.43,7.6083791157772125e-19,7.89953614085493e-17
5128.68,6.240552101726863e-19,7.858261045685538e-17
5129.93,2.747920861704103e-18,7.660119779778057e-17
5131.18,2.661671095896305e-18,8.164427127075621e-17
5132.43,2.4924445327340927e-18,9.634952243554283e-17
5133.68,1.9447040662954365e-18,8.842127506486297e-17
5134.93,2.8978910777181176e-18,8.653348608415226e-17
5136.18,2.722797994843655e-18,9.24834661698223e-17
5137.43,1.14737162006174e-18,8.589876277725834e-17
5138.68,-1.8787635910030814e-19,8.778062441565499e-17
5139.93,9.995018248322727e-19,8.92295818809461e-17
5141.18,1.7110768207056978e-18,8.479943564923723e-17
5142.43,5.45891336898813e-18,8.461934617391697e-17
5143.68,3.2131162595183468e-18,8.052366876781388e-17
5144.93,1.6460128682195198e-18,7.627352768228179e-17
5146.18,1.7245751183234251e-18,7.755069803290348e-17
5147.43,2.0527555654720787e-18,8.226702837783989e-17
5148.68,1.7287329053543754e-18,7.525391422432254e-17
5149.93,-1.161526696211953e-18,7.455607301434519e-17
5151.18,4.634328177770358e-19,6.868069168810516e-17
5152.43,6.167990675520505e-19,7.741987969097297e-17
5153.68,4.395103944320535e-18,7.281474588800129e-17
5154.93,1.842915503997213e-18,7.724777436579503e-17
5156.18,3.072135585710835e-18,8.539017593027645e-17
5157.43,-1.4552498878192997e-18,8.884504068858455e-17
5158.68,-1.2453547970933987e-18,9.356118061030914e-17
5159.93,4.513929562424515e-19,1.0282531271245849e-16
5161.18,1.1677077250910463e-18,1.1009953895659798e-16
5162.43,2.260053932265761e-19,1.1414879472922193e-16
5163.68,-1.066983559773127e-18,1.0834499099144044e-16
5164.93,3.251849867035468e-18,1.097366635581441e-16
5166.18,3.0845498365584862e-18,9.17424693402511e-17
5167.43,-7.588377934800066e-19,7.677095705916456e-17
5168.68,1.3422222362869934e-18,6.916634044407893e-17
5169.93,3.606771089289743e-19,5.890727819879539e-17
5171.18,1.4372051287235825e-18,5.042187834676277e-17
5172.43,2.025556689192303e-18,5.54467575775498e-17
5173.68,2.906561002138373e-18,5.095058075071417e-17
5174.93,1.2557733793064882e-18,3.950138871781038e-17
5176.18,2.5933485203071534e-18,4.7481650455446386e-17
5177.43,2.137326878762765e-18,4.0166495391303264e-17
5178.68,3.43005792954047e-18,3.6559276789370946e-17
5179.93,4.912161111707114e-19,4.5539028085705346e-17
5181.18,1.7261943279658589e-18,4.6579254489887615e-17
5182.43,3.540754893380899e-18,5.586735612961574e-17
5183.68,1.748202667137399e-18,6.180878471685721e-17
5184.93,1.2044601851528937e-18,5.643740988868298e-17
5186.18,2.5840961006998433e-18,6.15170637485663e-17
5187.43,1.4587692512635888e-19,6.448360750384626e-17
5188.68,7.767197870282683e-19,7.259703285233628e-17
5189.93,1.0899700731800587e-18,6.826919934875536e-17
5191.18,3.5841183522007675e-18,7.380553005609414e-17
5192.43,3.1781326257802575e-18,6.605152879883425e-17
5193.68,5.749712712309294e-19,7.212326224529173e-17
5194.93,9.184005455139437e-19,6.926510028287783e-17
5196.18,-3.0562754124287028e-18,7.149635465247633e-17
5197.43,3.8047424087829126e-19,7.932183944591452e-17
5198.68,1.9390994276594746e-18,7.134264247273004e-17
5199.93,3.6938369278792006e-18,7.040288881932229e-17
5201.18,4.857045715905136e-18,6.74958421203357e-17
5202.43,3.2790291809627945e-20,6.514214631653547e-17
5203.68,2.3974557183563634e-18,6.578624726565312e-17
5204.93,1.491267363729312e-18,5.612585565819901e-17
5206.18,1.6439617716906642e-18,5.758360969748726e-17
5207.43,1.2512398718680625e-18,6.507012315628368e-17
5208.68,1.144374923337639e-18,5.952110640139968e-17
5209.93,1.5397587099329777e-18,5.2330481532059963e-17
5211.18,2.6626271891090167e-18,6.365769434733298e-17
5212.43,3.665620381770045e-18,8.978656728132444e-17
5213.68,3.1545179659297378e-18,1.0109954213278338e-16
5214.93,6.679849440450065e-19,9.90473569525014e-17
5216.18,9.9767311125599e-19,1.0488353189273005e-16
5217.43,2.954109140167362e-19,1.0895202852203795e-16
5218.68,7.696418558292952e-19,1.0417871201113812e-16
5219.93,5.570798214947541e-19,1.069073882923744e-16
5221.18,-8.944158350670818e-20,1.133311204697381e-16
5222.43,2.1776911536876934e-19,1.1027017229102961e-16
5223.68,-3.3455405546038644e-18,1.0872935780305961e-16
5224.93,1.3762183038768344e-18,1.0045601690755469e-16
5226.18,2.709097067368344e-18,1.0662960632973869e-16
5227.43,-4.135680699732564e-20,1.0973247613880162e-16
5228.68,2.060402894389938e-18,1.1189687534440915e-16
5229.93,3.0194438239476515e-18,1.1698235245688357e-16
5231.18,1.2644199484302444e-18,1.1880819865778537e-16
5232.43,-1.2203669307129712e-18,1.1544014881993706e-16
5233.68,1.7989433002517048e-18,1.0671589015238666e-16
5234.93,2.135365092400857e-18,1.1510487748129692e-16
5236.18,1.958687138482181e-18,1.1941770788269333e-16
5237.43,-6.422964617536172e-19,1.1557698780773158e-16
5238.68,7.019553540958544e-19,1.1445727169623913e-16
5239.93,2.0704987493357257e-18,1.0865127254090133e-16
5241.18,-7.440821519687277e-19,8.923228243758638e-17
